time,FLOW,TEMP,SALT,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop
2018-07-19,0.01413,11.479,0,511.83,43.019,3.802,0.141,0.089,61.33,94.447,31.081,3.52,7.259,4.502,0.229,0.229,0.012
2018-07-20,0.01413,11.479,0,0,43.019,3.802,0.141,0.089,61.33,94.447,31.081,3.52,7.259,4.502,0.229,0.229,0.012
